DEPARTAMENTO,URL_ACTAS
AMAZONAS ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/60
ANTIOQUIA ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/01
ARAUCA ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/40
ATLANTICO,https://e14segundavueltapresidente.registraduria.gov.co/departamento/03
BOGOTA D.C.,https://e14segundavueltapresidente.registraduria.gov.co/departamento/16
BOLIVAR,https://e14segundavueltapresidente.registraduria.gov.co/departamento/05
BOYACA ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/07
CALDAS,https://e14segundavueltapresidente.registraduria.gov.co/departamento/09
CAQUETA ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/44
CASANARE,https://e14segundavueltapresidente.registraduria.gov.co/departamento/46
CAUCA ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/11
CESAR ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/12
CHOCO,https://e14segundavueltapresidente.registraduria.gov.co/departamento/17
CONSULADOS,https://e14segundavueltapresidente.registraduria.gov.co/departamento/88
CORDOBA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/13
CUNDINAMARCA ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/15
GUAINIA ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/50
GUAVIARE ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/54
HUILA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/19
LA GUAJIRA ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/48
MAGDALENA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/21
META,https://e14segundavueltapresidente.registraduria.gov.co/departamento/52
NARIÑO,https://e14segundavueltapresidente.registraduria.gov.co/departamento/23
NORTE DE SAN,https://e14segundavueltapresidente.registraduria.gov.co/departamento/25
PUTUMAYO,https://e14segundavueltapresidente.registraduria.gov.co/departamento/64
QUINDIO ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/26
RISARALDA ,https://e14segundavueltapresidente.registraduria.gov.co/departamento/24
SAN ANDRES,https://e14segundavueltapresidente.registraduria.gov.co/departamento/56
SANTANDER,https://e14segundavueltapresidente.registraduria.gov.co/departamento/27
SUCRE,https://e14segundavueltapresidente.registraduria.gov.co/departamento/28
TOLIMA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/29
VALLE,https://e14segundavueltapresidente.registraduria.gov.co/departamento/31
VAUPES,https://e14segundavueltapresidente.registraduria.gov.co/departamento/68
VICHADA,https://e14segundavueltapresidente.registraduria.gov.co/departamento/72
